tweet_id,tweet_time,retweet,favorites,follows
892420643555336193,2017-08-01 16:23:56,8576,38769,6903716
892177421306343426,2017-08-01 00:17:27,6303,33204,6903716
891815181378084864,2017-07-31 00:18:03,4186,25012,6903716
891689557279858688,2017-07-30 15:58:51,8702,42149,6903716
891327558926688256,2017-07-29 16:00:24,9463,40302,6903716
891087950875897856,2017-07-29 00:08:17,3135,20203,6903716
890971913173991426,2017-07-28 16:27:12,2086,11841,6903716
890729181411237888,2017-07-28 00:22:40,19014,65463,6903716
890609185150312448,2017-07-27 16:25:51,4291,27758,6903716
890240255349198849,2017-07-26 15:59:51,7460,31914,6903716
890006608113172480,2017-07-26 00:31:25,7380,30624,6903716
889880896479866881,2017-07-25 16:11:53,4999,27772,6903716
889665388333682689,2017-07-25 01:55:32,10121,48082,6903716
889638837579907072,2017-07-25 00:10:02,4572,27148,6903716
889531135344209921,2017-07-24 17:02:04,2250,15077,6903716
889278841981685760,2017-07-24 00:19:32,5466,25297,6903716
888917238123831296,2017-07-23 00:22:39,4523,29066,6903716
888804989199671297,2017-07-22 16:56:37,4372,25581,6903716
888554962724278272,2017-07-22 00:23:06,3603,19887,6903716
888078434458587136,2017-07-20 16:49:33,3516,21743,6903716
887705289381826560,2017-07-19 16:06:48,5426,30164,6903716
887517139158093824,2017-07-19 03:39:09,11738,46208,6903716
887473957103951883,2017-07-19 00:47:34,18350,69070,6903716
887343217045368832,2017-07-18 16:08:03,10469,33665,6903716
887101392804085760,2017-07-18 00:07:08,5994,30512,6903716
886983233522544640,2017-07-17 16:17:36,7819,35122,6903716
886736880519319552,2017-07-16 23:58:41,3316,12057,6903716
886680336477933568,2017-07-16 20:14:00,4495,22415,6903716
886366144734445568,2017-07-15 23:25:31,3215,21182,6903716
886267009285017600,2017-07-15 16:51:35,4,116,6903716
886258384151887873,2017-07-15 16:17:19,6326,27968,6903716
886054160059072513,2017-07-15 02:45:48,104,0,6903716
885984800019947520,2017-07-14 22:10:11,6849,32690,6903716
885528943205470208,2017-07-13 15:58:47,6476,35983,6903716
885518971528720385,2017-07-13 15:19:09,3778,20416,6903716
885311592912609280,2017-07-13 01:35:06,18686,0,6903716
885167619883638784,2017-07-12 16:03:00,4409,21930,6903716
884925521741709313,2017-07-12 00:01:00,18568,77525,6903716
884876753390489601,2017-07-11 20:47:12,5822,27920,6903716
884562892145688576,2017-07-11 00:00:02,4899,24285,6903716
884441805382717440,2017-07-10 15:58:53,5687,26974,6903716
884247878851493888,2017-07-10 03:08:17,20575,72994,6903716
884162670584377345,2017-07-09 21:29:42,3007,20365,6903716
883838122936631299,2017-07-09 00:00:04,3471,21888,6903716
883482846933004288,2017-07-08 00:28:19,10027,45933,6903716
883360690899218434,2017-07-07 16:22:55,3710,22551,6903716
883117836046086144,2017-07-07 00:17:54,6716,37201,6903716
882992080364220416,2017-07-06 15:58:11,3949,23938,6903716
882762694511734784,2017-07-06 00:46:41,4959,28293,6903716
882627270321602560,2017-07-05 15:48:34,6144,27886,6903716
882268110199369728,2017-07-04 16:01:23,11694,44957,6903716
882045870035918850,2017-07-04 01:18:17,5025,29332,6903716
881906580714921986,2017-07-03 16:04:48,3420,24273,6903716
881666595344535552,2017-07-03 00:11:11,10758,50529,6903716
